name,website,facebook,street,city,county,state,zip
Diablo Valley Certified Farmers' Market,http://www.cafarmersmkts.com/markets/category/diablo-valley,https://www.Facebook.com/DVFarmersMkt,Mitchell Dr. & N. Wiget Lane,Walnut Creek,Contra Costa,California,94598
Diamond Bar Farmers Market,http://www.farmernet.com,,Calvary Chapel Church,Diamond Bar,Los Angeles,California,91765
Dickinson Square Farmers' Market,http://www.farmtocity.org/FarmersMarkets.asp,https://www.facebook.com/FarmToCity,Moyamensing Ave at Morris Street,Philadelphia,Philadelphia,Pennsylvania,19147
Dickson County Farmers Market,http://www.dicksontnfarmersmarket.com/,https://www.facebook.com/dicksonfarmersmarket,284 Cowan Road ,Dickson ,Dickson,Tennessee,
Dietrich's Farm Market,,,3910 Avon Lake Road,Litchfield,Medina,Ohio,
Dig It!,http://www.thresholdpa.org,,,,,Pennsylvania,
Dillingham Farmers Market,,,by the Hockey Rink,Dillingham,,Alaska,99576
Dillon Farmers Market,http://www.dillonfarmersmarket.blogspot.com,https://www.facebook.com/dillon-farmers-market,20 N. Montana Street,Dillon ,Beaverhead,Montana,59725
Dillon Farmers' Market,,https://www.facebook.com/pages/Pulaski-County-Farmers-Market/126926763989161,Buffalo Street,Dillon,Summit,Colorado,80435
Dillsburg Farmers' Market,http://www.localharvest.org/dillsburg-farmers-market-M42020,https://www.facebook.com/DillsburgFarmersMarket,117 N. Baltimore Street,Dillsburg,York,Pennsylvania,17019
Dimondale Farmers' Market,http://www.villageofdimondale.org,https://www.facebook.com/pages/Dimondale-Farmers-Market/59619558738,136 N. Bridge St.,Dimondale,Eaton,Michigan,48821
Dinsmore Farmers Market,,,Hwy. 36 & Dinsmore Store,Hayfork,Humboldt,California,96041
Dinuba Farmers Market,,,L & Tulare St.,Dinuba,Tulare,California,93618
Discount Tire famrers market,http://www.azfarmersmarkets.us ,,20225 N Scottsdale Road,Scottsdale,Maricopa,Arizona,85255
Discover Sycamore's Farmers Market,http://www.sycamorechamber.com,,300 W Elm St.,Sycamore,Dekalb,Illinois,60178
Divide Farm Exchange,,,2968 Highway 49,Cool,El Dorado,California,
Divisidero Certified Farmers' Market,http://www.pcfma.com/market_home.php?market_id=63,,1326 Grove St.,San Francisco,San Francisco,California,94117
Division Street Chicago Farmers Market,,,1200 N Dearborn,Chicago,,Illinois,60610
Dixboro Farmers' Market,http://www.dixborofarmersmarket.org,https://www.facebook.com/pages/Dixboro-Farmers-Market/372563842791981,5221 Church Road,Ann Arbor,Washtenaw,Michigan,48105
Dixie Lee Farmers Market,http://www.dixieleefarmersmarket.com/,https://www.facebook.com/dixieleefarmersmarket,12740 Kingston Pike,Knoxville,Knox,Tennessee,37934
Dixon Farmers' Market,http://www.dixonfarmersmarket.com,https://www.facebook.com/DixonFarmersMarket,215 Hwy 75,Dixon,Rio Arriba,New Mexico,
Dixon Park District Farmers Market,http://www.dixonparks.com,,317 W. Third St.,Dixon,Lee,Illinois,61021
DLB Law Market in the Park ,http://www.washingtonpark.org/event/farmers-market-2/2013-07-15/,,Washington Park,Cincinnati,,Ohio,45202
DNR Farmers' Market,http://www.aaedc.org,https://www.facebook.com/pages/Dnr-Farmers-Market/558261570903806,580 Taylor Ave.,Annapolis,Anne Arundel,Maryland,21401
Dobson Farmers Market,,https://www.facebook.com/pages/Surry-County-Farmers-Market/,204 south Main Street,Dobson,Surry,North Carolina,27017
Doddridge County FFA Farmers Market,,,Football Field,West Union,,West Virginia,26456
Dodge City Farmers Market,,,Wyatt Earp Parking Lot,Dodge City,Ford,Kansas,
Doherty High School Farmers Market,,,4515 Barnes Rd.,Colorado Springs,,Colorado,
Dolgeville Farmer's Market,http://farmmarket.herkimerhealthnet.com/dolgeville.html,Dolgville Farmers Market,(Parking Lot) Between Main St. and Helmer Ave,Dolgeville,Herkimer,New York,13329
Dollar Store Farmers Market,,,"111 N 1st St., south parking lot",Forest City,Winnebago,Iowa,50436
Doña Ana Farmers' Market,,,"Doña Ana Plaza, Cristo Rey St",Doña Ana,,New Mexico,
Donnellson Farmers Market,,,Railroad Park on Main Street,Donnellson,Lee,Iowa,52625
Dora Farmers' Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=318,,Hwy 181,Sycamore,Ozark,Missouri,65760
Dorchester Fields Corner Farmers Market,,,"Park Street, Shopping Center Parking Lot",Dorchester,Suffolk,Massachusetts,2124
Dorchester Winter Farmers' Market,http://www.dotcomcoop.wordpress.com,https://www.facebook.com/DorchesterWinterFarmersMarket,6 Norfolk St ,Dorchester,Suffolk,Massachusetts,2124
Dorchester/Dorchester House Farmers Market,http://www.dorchesterhouse.org,,"Dorchester House, 1353 Dorchester  Ave.",Dorchester,Suffolk,Massachusetts,2122
Dorchester/Grove Hall,,,461 Blue Hill Ave.,Dorchester,Suffolk,Massachusetts,2121
Douglas Farmers Market,,,"283 Main Street, E. N. Jenckes Store Museum",East Douglas,,Massachusetts,1516
Douglas Mercado,http://www.douglasmercado.com,,Raul Castro Park on 10th Street,Douglas,Cochise,Arizona,85607
Douglass Farmers' Market,http://www.douglassfarmersmarket.wordpress.com,https://www.facebook.com/pages/Fair-Food-Matters/113123338709080,1000 West Paterson Street,Kalamazoo,Kalamazoo,Michigan,49007
Douglass Loop Farmers' Market,http://www.douglassloopfarmersmarket.com,www.facebook.com/douglassloopfarmersmarket,2005 Douglass Blvd,Louisville,Jefferson,Kentucky,40205
Douglasville Farmers and Artisans Market,,https://www.facebook.com/DouglasvilleFarmersAndArtisansMarket,8700 hospital drive,douglasville,Douglas,Georgia,30135
Dousman Farmers Market,http://www.dousmanchamber.org/farmers_market.html,https://www.facebook.com/DousmanFarmersMarket,Hwy 18 & 67,Dousman,Waukesha,Wisconsin,53118
Dover Cove Farmers' Market,http://harvesttomarket.com/farmers-market/Dover-Cove-Market-Place,https://www.facebook.com/DoverCoveFarmersMarket,1041 South Street,Dover-Foxcroft ,Piscataquis,Maine,4426
Dover Farmers' Market,http://www.seacoastgrowers.org,https://www.facebook.com/Market03820,550 Central Avenue,Dover,Rockingham,New Hampshire,3820
Downey CFM,,,Second St.  and La Reina St.,DOWNEY,Los Angeles,California,
Downs Village Market,,,103 W Franklin Street,Downs,McLean,Illinois,61736
Downtown 3RD Farmers Market,,https://www.facebook.com/Downtown3rdFarmersMarket,300 E Stewart Ave,Las Vegas,,Nevada,89101
Downtown Albany Farmers Market,,,"Tricentennial Park, at Broadway",Albany,Albany,New York,
Downtown Allen Park Farmers Market,http://www.allenparkdowntown.com,https://www.facebook.com/allenpark.dda?sk=wall,Park Avenue and Harrison Avenue,Allen Park,Wayne,Michigan,48101
Downtown Amory Farmers Market,,,1st Avenue North,Amory,Monroe,Mississippi,38821
Downtown Anaheim Certified Farmers Market,http://www.anaheimfarmersmarkets.com,https://www.facebook.com/AnaheimFarmersMarket,Center Street Promenade and Lemon Street,Anaheim,Orange,California,92805
Downtown Appleton - Washington Square Midweek Market,http://www.appletondowntown.org,,100 E. Washington St.,Appleton ,Outagamie,Wisconsin,54911
Downtown Appleton Farm Market,http://www.appletondowntown.org,https://www.facebook.com/downtownappletonfarmmarket,College Avenue - between Appleton and Drew Streets,Appleton ,Outagamie,Wisconsin,54911
Downtown Appleton Indoor Winter Farm Market,http://www.appletondowntown.org,https://www.facebook.com/downtownappletonfarmmarket,"100 College Avenue, City Center Plaza",Appleton,Outagamie,Wisconsin,54911
Downtown Arlington Farmers Market,http://WWW.downtownarlingtonfarmersmarket.com,https://www.facebook.com/downtownarlingtonfarmersmarket,215 E Front Street,Arlington ,Tarrant,Texas,76010
Downtown Ashtabula Farmers' Market ,http://www.localharvest.org/downtown-ashtabula-farmers-market-M59118,,4161 Fox Rd,Kingsville,,Ohio,44048
Downtown Batavia Public Market,http://www.downtownbataviany.com,,Corner of Ellicott(Route 63) & Center Streets,City of Batavia,Genesee,New York,14020
Downtown Bay City Farmers Market,http://www.downtownbaycityfarmersmarket.org,https://www.facebook.com/pages/Downtown-Bay-City-Farmers-Market/200900103265896,318 Sixth St,Bay City,Bay,Michigan,48708
Downtown Beaufort Farmers Market,http://www.downtownbeaufort.com,https://www.facebook.com/ShopBeaufortSC,Henry C. Chambers Waterfront Park,Beaufort,Beaufort,South Carolina,29902
Downtown Bedford Farmers Market,,,Fort Bedford Park,Bedford,Bedford,Pennsylvania,15522
Downtown Beloit Farmer's Market,http://www.downtownbeloit.com,https://www.facebook.com/BeloitFarmersMarket?ref=hl,"300 block of State Street, 400 block of East Grand Avenue, Gantry parking lot",Beloit,Rock,Wisconsin,53511
Downtown Berkeley Farmers' Market,http://ecologycenter.org/fm,,"Center Street & Martin Luther King Jr., Way",Berkeley,Alameda,California,94702
Downtown Big Rapids Farmers Market ,,https://www.facebook.com/pages/Downtown-Big-Rapids-Farmers-Market/152427584813743,226 N Michigan Ave,Big Rapids,,Michigan,49307
Downtown Binghamton Farmers Market,http://www.binghamtonfarmersmarket.com,https://www.facebook.com/BinghamtonFarmersMarket,52 Court Street,Binghamton,Broome,New York,13901
Downtown Bloomington Association Farmers Market,http://www.downtownbloomington.org/index.php?id=6,https://www.facebook.com/DBAFarmersMarket,200 block of N. Main St. to 100 block of W. Jefferson St. to 200 block of N. Center St.,Bloomington,McLean,Illinois,61701
Downtown Bloomington Association Farmers Market,http://www.downtownbloomington.org/index.php?id=6,https://www.facebook.com/DBAFarmersMarket,101 S. Madison,Bloomington,McLean,Illinois,61701
Downtown Bowling Green Farmer's Market,http://www.downtownbgohio.org/farmersmarket,,South Main Street,Bowling Green,Wood,Ohio,43402
Downtown Bradenton Farmers Market,http://www.bradentonfarmersmarket.com,https://www.facebook.com/RealizeBradenton?ref=ts,400 Old. Main Street,Bradenton,Manatee,Florida,34206
Downtown Bridgeport Farmers Market,http://www.infobridgeport.com,,Bank Street ,Bridgeport,Fairfield,Connecticut,6604
Downtown Buda Farmers Market ,,https://www.facebook.com/dbfma,121 N. Main Street,Buda,,Texas,78610
Downtown Buffalo Country Market,http://www.buffaloplace.com,,Main Street at Court and Church Street,Buffalo,Erie,New York,14203
Downtown Burlington Farmers Market,http://www.burlingtonwifarmersmarket.com,, Washington & Pine Streets,Burlington,Racine,Wisconsin,53105
Downtown Casper Community Farmers Market,http://www.casperfarmersmarket.com,https://www.facebook.com/caspermarket,400 East Collins Drive,Casper,Natrona,Wyoming,82601
Downtown Chico Thursday Night Market,http://www.downtownchico.com/events/dcbaevents/tnm,,Broadway between 2nd & 5th Street,Chico,Butte,California,95928
Downtown City Market,http://www.dsfair.com,,6th & Cherry Streets,Winston Salem,Forsyth,North Carolina,27109
Downtown Clearfield Farmers Market,http://www.clearfieldcity.org,,140 East Center Street (approximately),Clearfield,Davis,Utah,84015
Downtown Clearwater  Farmers Market,http://www.downtownclearwaterfarmersmarket.com,https://www.facebook.com/CWFarmersMarket,500 block Cleveland St.,Clearwater ,Pinellas,Florida,33757
Downtown Clermont Farmer's Market,http://www.clermontdowntownpartnership.org,,691 W. Montrose Street,Clermont,Lake,Florida,34712
Downtown Cleveland Farmers Market,http://www.downtownclevelandmarket.org/,https://www.facebook.com/downtownclevelandmarket?ref=tn_tnmn,"5th Street Arcades, 530 Euclid Avenue",Cleveland,Cuyahoga,Ohio,44115
Downtown Columbus Farmers Market,,,222 West James St.,Columbus,Columbia,Wisconsin,53925
Downtown Cumberland,,,100 Baltimore Street,Cumberland,Allegany,Maryland,21502
Downtown Danville Farmers Market,http://www.downtowndanville.org,https://www.facebook.com/DanvilleFM,319 N. Vermilion Street,Danville,Vermilion,Illinois,61832
Downtown Daytona Beach Farmers Market,,https://www.facebook.com/daytonafarmersmarket,105 E. Magnolia Ave.,Daytona Beach,Volusia,Florida,32114
Downtown Denison Farmers Market,http://www.downtowndenisonfarmersmarket.com,https://www.facebook.com/denison.farmermarket?fref=ts,400 West Chestnut,Denison,Grayson,Texas,75020
Downtown Downers Grove Market,http://www.indianboundaryymca.org/downtownmarket,,Main Street Train Station on Burlington Avenue,Downers Grove,DuPage,Illinois,60515
Downtown El Cajon Farmers' Market,http://www.elcajonfarmersmarket.com,www.facebook.com/ElCajonFarmersMarket,201 E. Main St,El Cajon,San Diego,California,92020
Downtown Elgin Harvest Market,http://www.elginharvestmarket.com,https://www.facebook.com/ElginHarvestMarket,200 North Grove Avenue,Elgin,Kane,Illinois,60120
Downtown Evanston Farmers' Market,http://cityofevanston.org,Evanston farmers markets,Oak at University,Evanston,Cook,Illinois,60201
DOWNTOWN EVANSVILLE FARMERS MARKET,http://www.downtownevansvillefarmersmarket.com,https://www.facebook.com/VanderburghCountyFarmBureauFarmersMarket,Second & Sycamore,"Evansville,IN",Vanderburgh,Indiana,47713
Downtown Farmerington Farmers Market,http://www.ci.farmington.mn.us,,109 Spruce Street,Framington,Dakota,Minnesota,55024
Downtown Farmers and Artisans Bridge Market,,https://www.facebook.com/#!/DowntownBridgeMarket,15th and Broadway,Longview,Cowlitz,Washington,98632
Downtown Farmers and Produce Market,http://www.tallahasseedowntown.com,,Monroe Street & Park Avenue,Tallahassee,Leon,Florida,32302
Downtown Farmers Market,,,,Eau Claire,,Wisconsin,54703
Downtown Farmers Market,,,205 North 5th Street,Zanesville,Muskingum,Ohio,43701
Downtown Farmers Market,http://downtownwallawalla.com/downtownfarmersmarket/,Downtown Farmers Market,4th & Main Street,Walla Walla ,Walla Walla,Washington,99362
Downtown Farmers Market  sponsored by West Liberty Chamber of Commerce,http://www.westlibertyiowa.com,,"  E. 3rd St.,",West Liberty,Muscatine,Iowa,52776
Downtown Farmers Market - Racine,,,Corner of State and Erie St.,Racine,Racine,Wisconsin,53406
Downtown Farmers Market Arts & Crafts Mercado,,,South Lawn of the Main Library,Tucson,Pima,Arizona,85719
Downtown Farmers Market at Ancestor Square,http://www.farmersmarketdowntown.com,https://www.facebook.com/downtownfarmersmarketstgeorge,2 W St. George Blvd,St. George,Washington,Utah,84770
Downtown Farmers Market at Riverside,http://www.riversideca.gov/arts/farmers-market.asp,https://www.facebook.com/DowntownFarmersMarketRiverside?fref=ts,5th at Main St.,Riverside,Riverside,California,92522
Downtown Farmers Market I,,,Muncipale parking lot on Franklin St. from funeral home,Dobson,Surry,North Carolina,27017
Downtown Farmers Market I,,,600 W. Rosedale,Fort Worth,Tarrant,Texas,76141
Downtown Farmers Market II,,,4800 S. Hulen Street,Fort Worth,Tarrant,Texas,76141
Downtown Farmers Market II,,,Corner of Church & Main St.,Laurinburg,Rutherford,North Carolina,28353
Downtown Farmers Market III,,,8101 Camp Bowie,Fort Worth,Tarrant,Texas,76141
Downtown Farmers' Market,http://www.downtownduluth.com,Greater Downtown Council,Corner of Lake Avenue & Superior Street,Duluth ,St. Louis,Minnesota,55802
Downtown Farmers' Market - Des Moines,http://www.desmoinesfarmersmarket.com,https://www.facebook.com/DowntownFarmersMarket,Court Avenue & 4th Street,Des Moines,Polk,Iowa,50309
"Downtown Farmers' Market of Fort Pierce, Inc.",http://www.fortpiercefarmersmarket.com/,https://www.facebook.com/pages/Fort-Pierce-Farmers-Market/298599473536315,101 Melody Lane,fort pierce,St. Lucie,Florida,34950
Downtown Farmington Farmers' Market,http://www.ci.farmington.mn.us,,430 Third Street,Farmington,Dakota,Minnesota,55024
Downtown Festival Market,,,"2nd Ave. N & Broadway, on the US Bank",Fargo,Cass,North Dakota,
Downtown Fond du Lac Farmers Market,http://www.downtownfdl.com,https://www.facebook.com/DowntownFDL,Main Street Plaza near Main St and Sheboygan St,Fond du Lac,Fond du Lac,Wisconsin,54935
Downtown Gainesville Market On The Square,http://www.hallfarmers.org,https://www.facebook.com/hallfarmers,Main Street and Spring Street,Gainesville,Hall,Georgia,30501
Downtown Gaylord Farmers Market,,https://www.facebook.com/DowntownGaylordFarmersMarket,100 Court Street,Gaylord,Otsego,Michigan,49735
Downtown Green Bay Farmers Market,http://www.downtowngreenbay.com,Downtown Green Bay,200 S. Washington St.,Green Bay,Brown,Wisconsin,54301
Downtown Greenville Farmers Market,http://www.ruralresources.net,,College Street,Greenville,Greene,Tennessee,37745
Downtown Hampton Farmers Market,http://www.downtownhampton.com/farmersmarket/,,,Hampton,,Virginia,
Downtown Hays Market ,,https://www.facebook.com/DowntownHaysMarket,107 West 10th St. ,Hays,,Kansas,67601
Downtown Henderson Farmers Market,http://www.hendersonfarmersmarket.com,,In front of City Hall,Henderson,Clark,Nevada,89103
Downtown Hickory Farmers Market,http://www.hickoryfarmersmarket.com,, 220 Union Square,Hickory ,Catawba,North Carolina,28601
"Downtown Houma Farmers, Fishermen and Artisans Market",,,7910 West Park Avenue,Houma,Terrebonne,Louisiana,70360
Downtown Indiana Farmers Market,,,8th and Church St.,Indiana,Indiana,Pennsylvania,15701
Downtown Jackson Grand River Farmers Market,http://www.jacksondda.org,www.facebook.com/downtownjacksonmi,117 W. Louis Glick Hwy,Jackson,Jackson,Michigan,49201
Downtown Jamestown Farmers Market,http://www.jamestownrenaissance.org,https://www.facebook.com/DowntownJamestownFarmersMarket,Cherry Street,Jamestown,Chautauqua,New York,14701
Downtown Johnstown Farmer's Market,http://www.cityofjohnstownpa.net,,Main Street,Johnstown,Cambria,Pennsylvania,15901
Downtown Kaukauna Farmer's Market,http://www.cityofkaukauna.com/departments/farmers-market,https://www.facebook.com/pages/Downtown-Kaukauna-Farmer-Market/157106097678954,101 Crooks Ave.,Kaukauna ,Outagamie,Wisconsin,54130
Downtown La CFM,,,650 W 5Th Street,LOS ANGELES,LOS ANGELES,California,
Downtown Laramie Farmer's market,http://www.farmersmarketlaramie.com/,, 207 Grand Ave,Laramie,Albany,Wyoming,82070
Downtown LaSalle Canal Market ,,https://www.facebook.com/DowntownLaSalleCanalMarket,First and Marquette Streets,LaSalle,,Illinois,61301
Downtown Laurel Farmers Market,http://www.laurelmainstreet.com,,Central Ave and Commerce Street,Laurel,Jones,Mississippi,39440
Downtown Lee's Summit Farmers Market,http://www.downtownls.org,https://www.facebook.com/downtownlsfarmersmarket,113 SE Douglas Street,Lee's Summit,Jackson,Missouri,64063
DOWNTOWN LIMA FARMERS' MARKET,,,221 N. Main St. SW CORNER OF TOWN SQ.,LIMA,Allen County,Ohio,
